,pais,anio,inversion
564,czechia,2021,9050.6439183857
565,checoslovaquia,2021,
566,rep_dem_del_congo,2021,1870.0325028
567,DNK,2021,4681.4809913549
568,DOM,2021,3196.8
569,ECU,2021,647.2981509
570,EGY,2021,5122.0
571,SLV,2021,314.47614
572,GNQ,2021,459.8483212854
573,EST,2021,-831.9995884063
574,FJI,2021,407.0252912998
575,FIN,2021,13806.129907486
576,FRA,2021,30884.9027905579
577,polinesia_frances,2021,-25.6244477176
578,GAB,2021,1529.2210841177
579,GMB,2021,248.55
580,GEO,2021,1241.82174
581,DEU,2021,46467.6615091296
582,GHA,2021,2413.89
583,GRC,2021,6328.1893248208
584,GTM,2021,3461.7743
585,GIN,2021,197.61
586,guinea_bissau,2021,18.5297233557
587,guayana,2021,4468.10466
588,HTI,2021,51.299
589,HND,2021,738.7
590,HUN,2021,7558.8109729513
591,ISL,2021,153.0449206332
592,IND,2021,44762.6796365955
593,IDN,2021,21131.11
594,IRN,2021,1425.0
595,IRQ,2021,-2637.0
596,IRL,2021,-4929.6624222052
597,ISR,2021,21486.458
598,ITA,2021,-8955.7110990734
599,JAM,2021,320.48
600,JPN,2021,24652.0311709086
601,JOR,2021,621.8309859155
602,KAZ,2021,3336.7948055
603,KEN,2021,463.3489357
604,KIR,2021,1.031376
605,rep_de_corea,2021,22060.4
606,KWT,2021,567.2268211097
607,KGZ,2021,226.2
608,lao,2021,1071.9137156
609,LVA,2021,3322.3180767693
610,LBN,2021,605.143327
611,LBR,2021,45.68
612,LBY,2021,
613,LTU,2021,2864.5738467689
614,LUX,2021,25122.5910532777
615,MDG,2021,357.5366653
616,MWI,2021,129.4970785
617,MYS,2021,12173.3758952409
618,MLI,2021,639.9441653972
619,MLT,2021,4116.2834981679
620,MRT,2021,1063.5400782285
621,MUS,2021,253.1892527542
622,mejico,2021,31543.457456
623,MNG,2021,2173.39
624,MNE,2021,698.9195783767
625,MAR,2021,2266.4556114246
626,MOZ,2021,5101.6679545
627,NAM,2021,697.2702178443
628,NLD,2021,-77453.3756951557
629,antillas_holandesas,2021,
630,NCL,2021,793.713550772
631,NZL,2021,3993.4927146697
632,NIC,2021,1220.1
633,NER,2021,594.831963083
634,NGA,2021,3313.21
635,NOR,2021,1749.3597206054
636,OMN,2021,4020.8062418726
637,PAK,2021,2147.0
